,Date,Open,High,Low,Close,Adj Close,Volume,Ticker
0,2023-06-16,25.02,25.110001,24.42,24.559999,24.559999,4427000,GME
1,2023-06-20,24.41,24.65,23.719999,24.58,24.58,3250700,GME
2,2023-06-21,24.84,25.1,24.1,24.43,24.43,2404700,GME
3,2023-06-22,24.129999,24.33,23.76,24.32,24.32,1889600,GME
4,2023-06-23,23.780001,24.15,23.68,23.700001,23.700001,2230800,GME
5,2023-06-26,23.379999,24.030001,22.91,23.02,23.02,2525200,GME
6,2023-06-27,23.290001,23.6,23.0,23.58,23.58,2141500,GME
7,2023-06-28,23.440001,25.1,23.4,24.98,24.98,3493900,GME
8,2023-06-29,24.959999,25.469999,24.620001,24.9,24.9,3101000,GME
9,2023-06-30,24.969999,25.129999,24.25,24.25,24.25,2797500,GME
10,2023-07-03,24.290001,25.110001,24.209999,24.91,24.91,1806600,GME
11,2023-07-05,24.639999,24.85,23.790001,23.9,23.9,2263100,GME
12,2023-07-06,23.52,23.57,22.82,22.83,22.83,2384600,GME
13,2023-07-07,22.969999,23.530001,22.67,22.709999,22.709999,2439600,GME
14,2023-07-10,22.610001,23.559999,22.0,23.540001,23.540001,3318200,GME
15,2023-07-11,23.200001,24.440001,23.200001,23.91,23.91,3063500,GME
16,2023-07-12,24.25,24.309999,23.440001,23.440001,23.440001,1742200,GME
17,2023-07-13,23.540001,23.98,23.42,23.459999,23.459999,1912200,GME
18,2023-07-14,23.49,23.719999,22.940001,22.969999,22.969999,2175300,GME
19,2023-07-17,22.879999,23.309999,22.700001,22.82,22.82,2026000,GME
20,2023-07-18,22.719999,23.799999,22.68,23.08,23.08,2345100,GME
21,2023-07-19,23.42,23.58,22.959999,23.17,23.17,2250100,GME
22,2023-07-20,23.01,23.219999,22.66,22.91,22.91,2256700,GME
23,2023-07-21,23.049999,23.219999,22.16,22.18,22.18,3134100,GME
24,2023-07-24,22.42,23.040001,22.200001,23.040001,23.040001,2970400,GME
25,2023-07-25,23.1,23.1,22.530001,22.85,22.85,1672000,GME
26,2023-07-26,22.700001,22.99,22.48,22.700001,22.700001,1489200,GME
27,2023-07-27,22.940001,23.49,22.129999,22.219999,22.219999,3370900,GME
28,2023-07-28,22.02,22.49,21.790001,21.93,21.93,2642100,GME
29,2023-07-31,22.0,22.379999,21.85,22.200001,22.200001,1973400,GME
30,2023-08-01,21.950001,22.0,21.26,21.5,21.5,2567100,GME
31,2023-08-02,21.15,21.15,20.34,20.83,20.83,2625800,GME
32,2023-08-03,20.879999,21.18,20.74,20.93,20.93,1318700,GME
33,2023-08-04,20.950001,21.889999,20.889999,20.98,20.98,2400500,GME
34,2023-08-07,20.9,21.24,20.48,21.07,21.07,1441300,GME
35,2023-08-08,20.700001,20.9,20.280001,20.74,20.74,1431300,GME
36,2023-08-09,20.85,20.85,19.82,19.93,19.93,2929600,GME
37,2023-08-10,20.0,20.290001,19.870001,20.190001,20.190001,1432400,GME
38,2023-08-11,20.030001,20.379999,19.969999,20.190001,20.190001,1500200,GME
39,2023-08-14,19.75,20.01,19.08,19.959999,19.959999,3329300,GME
40,2023-08-15,19.77,19.780001,19.09,19.33,19.33,2290300,GME
41,2023-08-16,19.18,19.34,18.549999,18.59,18.59,3015600,GME
42,2023-08-17,18.790001,18.809999,18.299999,18.379999,18.379999,2056800,GME
43,2023-08-18,18.18,18.66,18.139999,18.360001,18.360001,2023900,GME
44,2023-08-21,18.299999,18.82,18.200001,18.48,18.48,2864700,GME
45,2023-08-22,18.620001,18.620001,17.25,17.26,17.26,3791900,GME
46,2023-08-23,17.25,17.34,16.879999,16.889999,16.889999,2909100,GME
47,2023-08-24,16.940001,16.98,16.18,16.360001,16.360001,3624500,GME
48,2023-08-25,16.5,17.18,16.450001,17.129999,17.129999,3423500,GME
49,2023-08-28,17.35,18.110001,17.25,17.57,17.57,3007400,GME
50,2023-08-29,17.6,18.549999,17.6,18.24,18.24,2709200,GME
51,2023-08-30,18.200001,18.52,17.91,18.370001,18.370001,1884500,GME
52,2023-08-31,18.41,19.42,18.15,18.549999,18.549999,4674100,GME
53,2023-09-01,18.66,18.73,18.32,18.42,18.42,2131800,GME
54,2023-09-05,18.450001,19.34,18.26,19.23,19.23,3781300,GME
55,2023-09-06,19.059999,19.15,18.42,18.75,18.75,6107200,GME
56,2023-09-07,19.129999,19.48,17.610001,18.889999,18.889999,5021300,GME
57,2023-09-08,18.15,18.5,17.35,17.709999,17.709999,4689200,GME
58,2023-09-11,17.85,17.85,16.9,17.02,17.02,3543800,GME
59,2023-09-12,17.530001,18.5,17.190001,17.23,17.23,5179400,GME
60,2023-09-13,17.309999,17.93,17.27,17.809999,17.809999,3012600,GME
61,2023-09-14,17.799999,18.52,17.6,18.33,18.33,3078000,GME
62,2023-09-15,18.360001,18.610001,18.15,18.219999,18.219999,6158000,GME
63,2023-09-18,17.99,18.1,17.35,17.549999,17.549999,3694600,GME
64,2023-09-19,17.59,17.639999,17.129999,17.52,17.52,2584200,GME
65,2023-09-20,17.629999,17.93,17.450001,17.52,17.52,2129800,GME
66,2023-09-21,17.280001,17.32,16.65,17.02,17.02,2910700,GME
67,2023-09-22,17.18,17.35,17.0,17.18,17.18,2100300,GME
68,2023-09-25,17.0,17.719999,16.85,17.67,17.67,2181200,GME
69,2023-09-26,17.379999,17.82,16.780001,16.780001,16.780001,2726800,GME
