,Date,Open,High,Low,Close,Adj Close,Volume,Ticker
0,2023-06-16,18.09,18.09,17.709999,17.879999,17.879999,2649000,BMBL
1,2023-06-20,17.6,17.975,17.41,17.889999,17.889999,1814200,BMBL
2,2023-06-21,17.73,17.85,17.389999,17.5,17.5,2404100,BMBL
3,2023-06-22,17.26,17.379999,16.799999,17.27,17.27,2209500,BMBL
4,2023-06-23,16.99,17.215,16.84,17.18,17.18,2042800,BMBL
5,2023-06-26,17.23,17.370001,16.639999,16.68,16.68,2322600,BMBL
6,2023-06-27,16.58,16.969999,16.34,16.809999,16.809999,3475100,BMBL
7,2023-06-28,16.790001,16.9,16.52,16.629999,16.629999,2627100,BMBL
8,2023-06-29,16.49,16.93,16.450001,16.77,16.77,1647400,BMBL
9,2023-06-30,17.040001,17.040001,16.625,16.780001,16.780001,1458400,BMBL
10,2023-07-03,16.809999,17.235001,16.805,17.17,17.17,1010700,BMBL
11,2023-07-05,17.040001,17.1,16.549999,16.58,16.58,1780800,BMBL
12,2023-07-06,16.32,16.530001,15.705,16.18,16.18,2431600,BMBL
13,2023-07-07,16.34,16.68,16.26,16.620001,16.620001,2095400,BMBL
14,2023-07-10,16.6,17.709999,16.6,17.59,17.59,2423100,BMBL
15,2023-07-11,17.940001,19.23,17.9,18.610001,18.610001,3439700,BMBL
16,2023-07-12,19.110001,20.209999,18.955,19.98,19.98,4267600,BMBL
17,2023-07-13,20.200001,20.475,19.77,19.969999,19.969999,2888700,BMBL
18,2023-07-14,19.93,20.129999,19.57,19.82,19.82,2653400,BMBL
19,2023-07-17,19.780001,21.055,19.65,20.809999,20.809999,3180400,BMBL
20,2023-07-18,20.82,20.969999,19.559999,19.66,19.66,2620700,BMBL
21,2023-07-19,19.99,20.42,19.805,20.139999,20.139999,2114600,BMBL
22,2023-07-20,19.91,19.98,18.879999,18.99,18.99,1767300,BMBL
23,2023-07-21,19.200001,19.43,18.545,18.68,18.68,1787400,BMBL
24,2023-07-24,18.59,18.969999,18.42,18.52,18.52,1455200,BMBL
25,2023-07-25,18.59,18.639999,18.040001,18.059999,18.059999,1402900,BMBL
26,2023-07-26,18.059999,18.795,17.98,18.59,18.59,1892800,BMBL
27,2023-07-27,18.91,18.91,17.809999,17.969999,17.969999,1992200,BMBL
28,2023-07-28,18.379999,18.530001,18.139999,18.209999,18.209999,2387400,BMBL
29,2023-07-31,18.32,18.84,18.27,18.52,18.52,1915100,BMBL
30,2023-08-01,18.280001,18.615,17.93,18.549999,18.549999,1574500,BMBL
31,2023-08-02,18.4,18.4,17.65,17.74,17.74,2139100,BMBL
32,2023-08-03,17.76,17.9,17.504999,17.870001,17.870001,1285700,BMBL
33,2023-08-04,17.93,18.01,17.129999,17.18,17.18,1812100,BMBL
34,2023-08-07,17.25,17.985001,17.18,17.969999,17.969999,2895300,BMBL
35,2023-08-08,17.43,18.1,17.410999,17.99,17.99,3681100,BMBL
36,2023-08-09,17.41,17.42,16.121,16.610001,16.610001,6138800,BMBL
37,2023-08-10,16.76,17.1,16.35,16.73,16.73,2191300,BMBL
38,2023-08-11,16.389999,16.549999,16.023001,16.51,16.51,2225500,BMBL
39,2023-08-14,16.18,17.215,16.110001,17.190001,17.190001,2073900,BMBL
40,2023-08-15,16.969999,17.105,16.5,16.6,16.6,1945700,BMBL
41,2023-08-16,16.42,16.465,16.1,16.34,16.34,1859100,BMBL
42,2023-08-17,16.450001,16.645,16.165001,16.6,16.6,1912600,BMBL
43,2023-08-18,16.26,16.754999,16.17,16.469999,16.469999,1299000,BMBL
44,2023-08-21,16.41,16.74,16.34,16.51,16.51,1308900,BMBL
45,2023-08-22,16.65,16.799999,16.32,16.35,16.35,1087100,BMBL
46,2023-08-23,16.370001,16.540001,16.08,16.389999,16.389999,1040300,BMBL
47,2023-08-24,16.360001,16.559999,16.02,16.030001,16.030001,1059200,BMBL
48,2023-08-25,16.030001,16.23,15.63,16.040001,16.040001,1288500,BMBL
49,2023-08-28,16.15,16.379999,15.775,15.87,15.87,923900,BMBL
50,2023-08-29,15.86,16.159,15.73,15.93,15.93,1094000,BMBL
51,2023-08-30,15.9,16.440001,15.79,16.32,16.32,1030200,BMBL
52,2023-08-31,16.35,16.85,16.35,16.780001,16.780001,1613000,BMBL
53,2023-09-01,16.99,17.309999,16.9,16.99,16.99,1145000,BMBL
54,2023-09-05,16.91,17.1,16.629999,16.709999,16.709999,1595600,BMBL
55,2023-09-06,16.73,16.790001,16.01,16.299999,16.299999,1278600,BMBL
56,2023-09-07,15.99,16.1,15.64,16.02,16.02,1840900,BMBL
57,2023-09-08,16.040001,16.25,15.64,15.73,15.73,1829000,BMBL
58,2023-09-11,15.83,15.97,15.695,15.73,15.73,2001200,BMBL
59,2023-09-12,15.58,15.945,15.32,15.8,15.8,1670000,BMBL
60,2023-09-13,15.96,15.96,15.2,15.31,15.31,2159100,BMBL
61,2023-09-14,15.47,16.045,15.34,15.78,15.78,1861000,BMBL
62,2023-09-15,15.78,15.82,15.43,15.6,15.6,1800300,BMBL
63,2023-09-18,15.51,15.675,15.27,15.27,15.27,1076400,BMBL
64,2023-09-19,15.25,15.39,15.16,15.28,15.28,1288600,BMBL
65,2023-09-20,15.4,15.52,14.82,14.83,14.83,1000000,BMBL
66,2023-09-21,14.61,14.78,14.28,14.41,14.41,1456600,BMBL
67,2023-09-22,14.49,14.89,14.44,14.65,14.65,1961100,BMBL
68,2023-09-25,14.45,14.91,14.44,14.8,14.8,1560000,BMBL
69,2023-09-26,14.86,14.99,14.682,14.79,14.79,1375100,BMBL
70,2023-09-27,14.89,14.958,14.35,14.44,14.44,1885100,BMBL
71,2023-09-28,14.42,14.54,14.145,14.48,14.48,2102900,BMBL
72,2023-09-29,15.24,15.55,14.715,14.92,14.92,3159800,BMBL
73,2023-10-02,14.84,14.87,13.935,13.99,13.99,2753000,BMBL
74,2023-10-03,13.78,14.205,13.77,14.07,14.07,2453600,BMBL
75,2023-10-04,14.07,14.19,13.775,14.1,14.1,1433700,BMBL
76,2023-10-05,14.08,14.15,13.73,13.87,13.87,1703000,BMBL
77,2023-10-06,13.65,14.57,13.62,14.13,14.13,2324700,BMBL
78,2023-10-09,13.99,14.43,13.85,14.32,14.32,1521200,BMBL
79,2023-10-10,14.28,14.805,14.28,14.59,14.59,1764700,BMBL
80,2023-10-11,14.59,14.76,14.42,14.75,14.75,2127700,BMBL
81,2023-10-12,14.76,14.76,14.035,14.21,14.21,1553000,BMBL
82,2023-10-13,14.24,14.305,13.83,13.97,13.97,2647000,BMBL
83,2023-10-16,14.02,14.1,13.72,14.06,14.06,1765700,BMBL
84,2023-10-17,13.86,14.4,13.84,14.32,14.32,1672700,BMBL
85,2023-10-18,14.02,14.14,13.59,13.59,13.59,1310900,BMBL
86,2023-10-19,13.65,13.925,13.37,13.54,13.54,1968500,BMBL
87,2023-10-20,13.51,13.595,13.202,13.41,13.41,1683400,BMBL
88,2023-10-23,13.17,13.63,13.11,13.53,13.53,1491400,BMBL
89,2023-10-24,13.63,14.245,13.62,14.03,14.03,1911300,BMBL
90,2023-10-25,13.89,13.89,13.3,13.3,13.3,2013400,BMBL
91,2023-10-26,13.27,13.76,12.85,13.52,13.52,2420800,BMBL
92,2023-10-27,13.63,13.985,13.14,13.35,13.35,4594900,BMBL
93,2023-10-30,13.47,13.66,13.115,13.3,13.3,1926800,BMBL
94,2023-10-31,13.26,13.51,13.1,13.44,13.44,3306700,BMBL
95,2023-11-01,13.04,13.12,12.38,12.9,12.9,4532100,BMBL
96,2023-11-02,13.28,13.675,13.115,13.44,13.44,2205600,BMBL
97,2023-11-03,13.85,14.1,13.49,13.67,13.67,2933600,BMBL
98,2023-11-06,12.62,13.22,12.29,13.07,13.07,6452500,BMBL
99,2023-11-07,13.11,13.83,12.97,13.42,13.42,4229800,BMBL
100,2023-11-08,12.86,14.53,12.425,13.81,13.81,8601400,BMBL
101,2023-11-09,13.82,14.39,13.54,13.57,13.57,3700700,BMBL
102,2023-11-10,13.53,14.59,13.32,14.25,14.25,3669800,BMBL
103,2023-11-13,14.15,14.24,13.66,13.91,13.91,2063600,BMBL
104,2023-11-14,14.5,15.045,14.31,14.92,14.92,3198300,BMBL
105,2023-11-15,15.09,15.34,14.72,14.94,14.94,3165800,BMBL
106,2023-11-16,14.82,14.85,14.23,14.48,14.48,2632500,BMBL
107,2023-11-17,14.52,14.828,14.31,14.71,14.71,2231000,BMBL
108,2023-11-20,14.65,14.84,14.4,14.54,14.54,2335700,BMBL
109,2023-11-21,14.39,14.435,13.92,13.94,13.94,2558200,BMBL
110,2023-11-22,14.14,14.47,14.12,14.18,14.18,2138900,BMBL
111,2023-11-24,14.11,14.24,13.96,14.08,14.08,807800,BMBL
112,2023-11-27,13.94,14.225,13.77,13.79,13.79,1937300,BMBL
113,2023-11-28,13.73,14.79,13.61,14.57,14.57,2704000,BMBL
114,2023-11-29,14.73,15.05,14.305,14.39,14.39,1967800,BMBL
115,2023-11-30,14.48,14.51,13.82,13.86,13.86,2293400,BMBL
116,2023-12-01,13.87,14.34,13.75,14.31,14.31,2000800,BMBL
117,2023-12-04,14.42,14.76,14.2,14.37,14.37,1838200,BMBL
118,2023-12-05,14.24,14.325,13.735,13.93,13.93,1795100,BMBL
119,2023-12-06,14.01,14.34,13.91,13.92,13.92,2326000,BMBL
120,2023-12-07,14.3,14.37,13.965,14.14,14.14,1979100,BMBL
121,2023-12-08,14.06,14.28,13.905,14.04,14.04,2374500,BMBL
122,2023-12-11,13.95,14.63,13.91,14.59,14.59,3406800,BMBL
123,2023-12-12,14.66,14.67,14.02,14.36,14.36,2725800,BMBL
124,2023-12-13,14.34,15.13,14.25,15.11,15.11,2839300,BMBL
125,2023-12-14,15.45,15.9,14.92,15.15,15.15,2987500,BMBL
126,2023-12-15,15.3,15.38,14.84,15.16,15.16,2958700,BMBL
127,2023-12-18,15.09,15.26,14.76,15.14,15.14,2008300,BMBL
128,2023-12-19,15.22,15.46,15.15,15.25,15.25,2011000,BMBL
129,2023-12-20,15.25,15.42,14.85,14.95,14.95,1651200,BMBL
130,2023-12-21,15.17,15.24,14.63,14.92,14.92,2644100,BMBL
131,2023-12-22,14.88,15.205,14.73,15.0,15.0,1904400,BMBL
132,2023-12-26,14.95,14.98,14.66,14.74,14.74,1820500,BMBL
133,2023-12-27,14.82,14.93,14.56,14.88,14.88,1626500,BMBL
134,2023-12-28,14.84,15.33,14.715,15.28,15.28,1683900,BMBL
135,2023-12-29,15.2,15.321,14.72,14.74,14.74,1772000,BMBL
136,2024-01-02,14.5,14.81,14.4,14.5,14.5,2370600,BMBL
137,2024-01-03,14.2,14.45,13.85,13.98,13.98,2717200,BMBL
138,2024-01-04,13.87,14.48,13.76,14.16,14.16,2366800,BMBL
139,2024-01-05,14.0,14.73,13.985,14.01,14.01,2254900,BMBL
140,2024-01-08,14.04,14.23,13.96,14.1,14.1,1359600,BMBL
141,2024-01-09,14.715,15.049,14.22,14.41,14.41,3933700,BMBL
142,2024-01-10,14.36,14.43,13.95,14.2,14.2,1985200,BMBL
143,2024-01-11,14.14,14.31,13.67,14.17,14.17,2710000,BMBL
144,2024-01-12,14.29,14.499,13.87,13.87,13.87,2120400,BMBL
145,2024-01-16,13.83,14.14,13.68,14.13,14.13,2471500,BMBL
146,2024-01-17,13.85,13.985,13.53,13.54,13.54,2519100,BMBL
147,2024-01-18,13.67,14.02,13.29,14.0,14.0,3192800,BMBL
148,2024-01-19,14.14,14.14,13.715,13.77,13.77,1420400,BMBL
149,2024-01-22,13.85,14.25,13.79,13.97,13.97,1645900,BMBL
150,2024-01-23,14.25,14.43,13.988,14.1,14.1,1358400,BMBL
